genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Phase
A4GALT,"A4GALTc",3,0.924768420267899,0.984013517143196,1,0.827252109871345,0.628571428571429,0.0169254450018244,0.496312663023863,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.124408338897544,0,G1
A4GALT,"A4GALTg",3,0.924768420267899,0.984013517143196,1,0.441545453158556,0.222660098522167,0.000350348099478736,0.356269502438247,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.124408338897544,0,G1
A4GNT,"A4GNT1g",3,0.924768420267899,0.984013517143196,1,0.441068761938291,0.221674876847291,8.53415787904659e-05,0.344829684328204,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.120691445952964,0,G1
A4GNT,"A4GNT2g",3,0.924768420267899,0.984013517143196,1,0.441068761938291,0.221674876847291,8.53415787904659e-05,0.344829684328204,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.120691445952964,0,G1
AACS,"AACOAT",3,0.940863593324951,0.984013517143201,1,0.673551233419357,0.360591133004926,0.00505849362692858,0.409589843830652,1,0.979311819213623,0.055596945960382,-8.3185243297621,1.03147457188981,0.252923065509311,0,G1
AACS,"ACS",3,0.940863593324951,0.984013517143201,1,0.676357812351512,0.371428571428571,0.00619094210934501,0.425635673024907,0,0.9754576992244,1,-10.3198176051408,1.03147457188981,0.252923065509311,0,G1
AACS,"ACS2",3,0.940863593324951,0.984013517143201,1,0.651348419677703,0.359605911330049,0.0093493630345372,0.443678649353053,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.252923065509311,0,G1
AADAC,"EGMESTr",3,0.924768420267899,0.984013517143196,1,0.440949653915137,0.138916256157635,0.00427253352917254,0.47005877285987,0,0.975189161651565,0.0445341806605492,-0,2.8253616675368,0.143827435269679,0,G1
AANAT,"SRTNACT",3,0.924768420267899,0.984013517143196,1,0.881227968403985,0.723152709359606,0.0193774484131464,0.61814694585043,0,0.975189161651565,0.0445341806605492,-0,1.07053900974147,0.0607723124860895,0,G1
AASS,"SACCD3m",3,0.924466461023216,0.984013517143197,0.976744186046512,0.509944555854093,0.25615763546798,0.00145663911731299,0.422406902706677,0,0.975470029203592,0.0448093676255783,-0.275620006426671,1.03147457188981,0.353034349729208,0,G1
AASS,"SACCD4m",3,0.924466461023216,0.984013517143197,0.976744186046512,0.508197774399955,0.252216748768473,0.00102786999863361,0.40859585849663,0,0.975470029203592,0.0448093676255783,-0.275620006426671,1.03147457188981,0.353034349729208,0,G1
ABCA1,"CHSTEROLt",3,0.924768420267899,0.984013517143196,0.988372093023256,0.967506858680891,0.883743842364532,0.0173547733954385,0.707360062253001,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.917505007789895,0,G1
ABCA1,"CHSTEROLtg",3,0.924768420267899,0.984013517143196,0.988372093023256,0.966984813719928,0.882758620689655,0.0105958202732245,0.669599241690285,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.917505007789895,0,G1
ABCB11,"CHOLATEt3",3,0.924768420267899,0.984013517143199,1,0.965420693158426,0.881773399014778,0.0100319283223085,0.666656660760621,0,0,1,-0,1.03147457188981,0.51727131092811,0,G1
ABCB11,"GCHOLAt3",3,0.924768420267899,0.984013517143199,1,0.966202376057666,0.883743842364532,0.0223309323918968,0.705296321920352,0,0,1,-0,1.03147457188981,0.51727131092811,0,G1
ABCB11,"TCHOLAt3",3,0.924768420267899,0.984013517143199,1,0.966202376057666,0.883743842364532,0.0223243320458142,0.705259301865774,0,0,1,-0,1.03147457188981,0.51727131092811,0,G1
ABCC1,"5ADTSTSTERONEGLCte",3,0.924768420267899,0.984013517143197,1,0.965420693158426,0.880788177339901,0.0151152928665526,0.689392413024456,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"AHANDROSTANGLCte",3,0.924768420267899,0.984013517143197,1,0.965420693158426,0.880788177339901,0.0151781608625623,0.688925664613755,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"ANDRSTRNGLCte",3,0.924768420267899,0.984013517143197,1,0.964899989999262,0.879802955665025,0.00798168487472733,0.65748470264203,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"BILDGLCURte",3,0.924768420267899,0.984013517143197,1,0.965681170329716,0.881773399014778,0.0166195981136981,0.689234645277016,1,0,1,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"BILGLCURte",3,0.924768420267899,0.984013517143197,1,0.965420693158426,0.881773399014778,0.0158861930397409,0.684577534096181,1,0,1,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"ESTRIOLGLCte",3,0.924768420267899,0.984013517143197,1,0.965681170329716,0.880788177339901,0.0157311951644655,0.694284589866905,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC1,"TSTSTERONEGLCte",3,0.924768420267899,0.984013517143197,1,0.965420693158426,0.880788177339901,0.0149482873808893,0.68704824664503,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.610690704058165,-1,G1
ABCC4,"CAMPt",3,0.925620958478786,0.991782691531769,1,0.964899989999262,0.879802955665025,0.00798168487472733,0.65748470264203,0,0.975261263614111,0.0446048243504395,-0.0707548566463588,1.03147457188981,0.528844869797463,0,G1
ABCC4,"CGMPt",3,0.925620958478786,0.991782691531769,1,0.965420693158426,0.881773399014778,0.0117190345519899,0.673025391101375,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.528844869797463,0,G1
ABCC4,"ESTRADIOLGLCt2",3,0.925620958478786,0.991782691531769,1,0.965681170329716,0.881773399014778,0.0164621402445584,0.687956435980765,0,0,1,-0,1.03147457188981,0.528844869797463,0,G1
ABCC4,"PROSTGE1t3",3,0.925620958478786,0.991782691531769,1,0.965160299728409,0.880788177339901,0.00940619400175068,0.664652107946342,0,0,1,-0,1.03147457188981,0.528844869797463,0,G1
ABCC4,"PROSTGE2t3",3,0.925620958478786,0.991782691531769,1,0.965420693158426,0.881773399014778,0.0137732086367921,0.683375227977438,0,0,1,-0,1.03147457188981,0.528844869797463,0,G1
ABO,"ABO1g",3,0.924768420267899,0.984013517143196,1,0.441187895865757,0.221674876847291,0.000145094027042216,0.346275996632033,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO2g",3,0.924768420267899,0.984013517143196,1,0.441187895865757,0.221674876847291,9.12951230154557e-05,0.344909550107108,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO3g",3,0.924768420267899,0.984013517143196,1,0.441426241467432,0.222660098522167,0.0140814457634153,0.442357560158557,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO4g",3,0.924768420267899,0.984013517143196,1,0.441187895865757,0.221674876847291,0.000145094027042216,0.346275996632033,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO5g",3,0.924768420267899,0.984013517143196,1,0.441426241467432,0.222660098522167,0.014135244667442,0.443728653063002,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO6g",3,0.924768420267899,0.984013517143196,1,0.441187895865757,0.221674876847291,0.000145094027042216,0.346275996632033,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO7g",3,0.924768420267899,0.984013517143196,1,0.441426241467432,0.222660098522167,0.014135244667442,0.443728653063002,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO8g",3,0.924768420267899,0.984013517143196,1,0.441426241467432,0.222660098522167,0.0140814457634153,0.442357560158557,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ABO,"ABO9g",3,0.924768420267899,0.984013517143196,1,0.441426241467432,0.222660098522167,0.0140814457634153,0.442357560158557,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.12602196008606,0,G1
ACACB,"ACCOAC",3,0,0.984013517143194,0.0116279069767442,0.903791053205518,0.827586206896552,0.0380614964042534,0.783684221935473,0,1,1,-24.3472888757509,0.81192364976241,1,0,G1
ACACB,"ACCOACm",3,0,0.984013517143194,0.0116279069767442,0.496378364892279,0.267980295566502,0.00309325351609024,0.413195177328756,0,0.975189161651565,1,-0,0.81192364976241,1,0,G1
ACAD10,"ACOAD1fm",3,0.924768420267899,0.984013517143199,1,0.246346855207602,0.0620689655172414,1.34091046792714e-05,0.124360082092673,0,0.975189161651565,0.0445341806605492,-0,1.33582322407445,0.414989984420209,0,G1
ACAD10,"PPCOAOm",3,0.924768420267899,0.984013517143199,1,0.248283958385259,0.0660098522167488,3.60050022409299e-05,0.132990896541906,0,0.975189161651565,0.0445341806605492,-0,1.33582322407445,0.414989984420209,0,G1
ACAD11,"ACOAD1fm",3,0.924768420267899,0.984013517143199,1,0.246346855207602,0.0620689655172414,1.34091046792714e-05,0.124360082092673,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.297881890347949,0,G1
ACAD11,"PPCOAOm",3,0.924768420267899,0.984013517143199,1,0.248283958385259,0.0660098522167488,3.60050022409299e-05,0.132990896541906,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.297881890347949,0,G1
ACAD8,"ACOAD1fm",3,0.925065232105003,0.984013517143197,1,0.246346855207602,0.0620689655172414,1.34091046792714e-05,0.124360082092673,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.141364344535945,0,G1
ACAD8,"ACOAD9m",3,0.925065232105003,0.984013517143197,1,0.238680865112462,0.0610837438423645,8.21487059329035e-06,0.12263129224826,0,0.975320161953748,0.0446625314626107,-0.128552778236865,1.03147457188981,0.141364344535945,0,G1
ACAD8,"PPCOAOm",3,0.925065232105003,0.984013517143197,1,0.248283958385259,0.0660098522167488,3.60050022409299e-05,0.132990896541906,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.141364344535945,0,G1
ACAD9,"ACOAD1fm",3,0.924768420267899,0.984013517143199,1,0.246346855207602,0.0620689655172414,1.34091046792714e-05,0.124360082092673,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.229241783515098,0,G1
ACAD9,"PPCOAOm",3,0.924768420267899,0.984013517143199,1,0.248283958385259,0.0660098522167488,3.60050022409299e-05,0.132990896541906,0,0.975189161651565,0.0445341806605492,-0,1.03147457188981,0.229241783515098,0,G1
ACADM,"ACOAD10m",3,0.923439456535079,0.984013517143196,1,0.238680865112462,0.0610837438423645,8.20429314320757e-06,0.122625884186648,0,0.975619140335592,0.0449554629632945,-0.421945243583196,0.803451924712691,0.146995326062764,0,G1
ACADM,"ACOAD1fm",3,0.923439456535079,0.984013517143196,1,0.246346855207602,0.0620689655172414,1.34091046792714e-05,0.124360082092673,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"ACOAD9m",3,0.923439456535079,0.984013517143196,1,0.238680865112462,0.0610837438423645,8.21487059329035e-06,0.12263129224826,0,0.975320161953748,0.0446625314626107,-0.128552778236865,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC11",3,0.923439456535079,0.984013517143196,1,0.535383833997039,0.300492610837438,0.00568399450021611,0.51010327245392,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC140",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC150m",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC160",3,0.923439456535079,0.984013517143196,1,0.5410310607129,0.324137931034483,0.0141670664938813,0.601416201080547,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC16080m",3,0.923439456535079,0.984013517143196,1,0.541314829498979,0.32512315270936,0.01429873421845,0.605983464664893,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC161802m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC16180m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC170m",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC180",3,0.923439456535079,0.984013517143196,1,0.5410310607129,0.324137931034483,0.0141670664938813,0.601416201080547,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC1811601m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC1811602m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC1811603m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC182806m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC18280m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC183803m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC183806m",3,0.923439456535079,0.984013517143196,1,0.542166944699359,0.303448275862069,0.00700250130628741,0.517960508614077,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC18480m",3,0.923439456535079,0.984013517143196,1,0.540889226818518,0.322167487684729,0.00764812492300554,0.570051690614122,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC200180m",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC2031836m",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
ACADM,"FAOXC204",3,0.923439456535079,0.984013517143196,1,0.540605659967171,0.321182266009852,0.00753262287520565,0.565484903783521,0,0.975189161651565,0.0445341806605492,-0,0.803451924712691,0.146995326062764,0,G1
