genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Acetyl,Phos
b0029,"DMPPS",1,0,0.999999999999702,0,0.888467604190936,0.861454046639232,0.058249988494879,0.79904267884007,0,0.449744842686922,4.20469152356598e-05,0.00128134492373475,1.00375811962536,0.197865501638321,0,0,0
b0029,"IPDPS",1,0,0.999999999999702,0,0.889763157311458,0.863511659807956,0.0609224472559079,0.802452256076936,0,0.449744842686922,4.20469152356598e-05,0.00972992494246069,1.00375811962536,0.197865501638321,0,0,0
b0030,"ADNUC",1,0.999999999999477,0.9999999999997,1,0.601947760122192,0.397119341563786,0.000653899107883359,0.3667781898051,0,0.449744842686922,3.51061887847872e-06,0,-1.58733643753556,0.184047433296926,1,1,0
b0030,"CYTDH",1,0.999999999999477,0.9999999999997,1,0.600561788075909,0.39437585733882,0.000147350061122906,0.363481077888279,0,0.449744842686922,8.77654648687082e-07,0,0.932232976095316,0.184047433296926,1,1,0
b0030,"INSH",1,0.999999999999477,0.9999999999997,1,0.601670300645369,0.396433470507545,0.0194533380101971,0.387527677977684,0,0.449744842686922,3.51061890123011e-06,0,-0.933146906579917,0.184047433296926,1,1,0
b0030,"URIH",1,0.999999999999477,0.9999999999997,1,0.602503077343028,0.398491083676269,0.000730827683828688,0.367957789148024,0,0.449744842686922,3.51061890123081e-06,0,0.906810560993971,0.184047433296926,1,1,0
b0030,"XTSNH",1,0.999999999999477,0.9999999999997,1,0.600838717607568,0.395061728395062,0.00691497256302789,0.377796373003265,0,0.449744842686922,3.51061890123081e-06,0,1.00375811962536,0.184047433296926,1,1,0
b0031,"DHDPRy",1,0,0.99999999999965,0.0120120120120121,0.792582967532203,0.710562414266118,0.00211064794125469,0.636589103896564,0,0.453337403208799,0.00652888437914901,1.7097612162391,1.00375811962536,0.160305819940708,1,1,0
b0032,"CBPS",1,0.999999999999305,0.999999999999479,1,0.94728684138193,0.947873799725652,0.095606302864728,0.926006812009579,0,0.449744842686922,1.75530875694487e-06,0,0.595825487555799,0.239407083788423,1,1,0
b0033,"CBPS",1,0.999999999999305,0.999999999999479,1,0.94728684138193,0.947873799725652,0.095606302864728,0.926006812009579,0,0.449744842686922,1.75530875694487e-06,0,0.595825487555799,0.71630519581838,1,1,0
b0038,"CRNBTCT",1,0.999999999999369,0.999999999999633,1,0.352824633484438,0.00480109739368999,0.000254416676137173,0.0835448741845784,1,0.449744842686922,0,-0,1.00375811962536,0.262474645030426,0,0,0
b0038,"CRNCBCT",1,0.999999999999369,0.999999999999633,1,0.35333843836883,0.00685871056241427,0.000586188291983558,0.0901722722214705,1,0.449744842686922,0,0,1.00375811962536,0.262474645030426,0,0,0
b0048,"DHFR",1,0.999999999999442,0.999999999999664,0.00900900900900903,0.794466502796999,0.713991769547325,0.0139816211386818,0.64956884738466,1,0.450004733835313,0.000472464938652719,0.123686658375618,1.00375811962536,0.0931627398970198,1,1,0
b0049,"AP4AH",1,0.999999999999399,0.99999999999941,1,0.899335228369542,0.878600823045267,0.022712126151529,0.803120058718049,0,0.449744842686922,3.51061722960963e-06,0,1.00375811962536,0.176158527071306,0,0,0
b0049,"AP5AH",1,0.999999999999399,0.99999999999941,1,0.922019189153511,0.91358024691358,0.0296555329063967,0.840865304658721,0,0.449744842686922,0,-0,1.00375811962536,0.176158527071306,0,0,0
b0049,"GP4GH",1,0.999999999999399,0.99999999999941,1,0.885024099525567,0.8559670781893,0.0177397314914285,0.778656218566775,0,0.449744842686922,0,-0,1.00375811962536,0.176158527071306,0,0,0
b0052,"PDX5PS",1,0,0.999999999999641,0,0.909034656889538,0.890260631001372,0.0394877396227487,0.829168047058929,0,0.449747002393502,3.92484231129051e-06,0.00102784143162893,1.00375811962536,0.199981276330161,0,0,0
b0071,"IPPMIa",1,0,0.999999999999725,0,0.598902984804494,0.391632373113855,2.14464483824679e-05,0.3609189329749,1,0.445381479393051,0.00792942449449668,-2.07656694185298,1.00375811962536,0.121173349976595,0,0,0
b0071,"IPPMIb",1,0,0.999999999999725,0,0.598626979030479,0.390946502057613,0,0.360339283514342,1,0.445381479393051,0.00792942449449668,-2.07656694185298,1.00375811962536,0.121173349976595,0,0,0
b0072,"IPPMIa",1,0,0.999999999999725,0,0.598902984804494,0.391632373113855,2.14464483824679e-05,0.3609189329749,1,0.445381479393051,0.00792942449449668,-2.07656694185298,1.00375811962536,0.292151661725698,0,0,0
b0072,"IPPMIb",1,0,0.999999999999725,0,0.598626979030479,0.390946502057613,0,0.360339283514342,1,0.445381479393051,0.00792942449449668,-2.07656694185298,1.00375811962536,0.292151661725698,0,0,0
b0073,"IPMD",1,0,0.999999999999725,0,0.794089375780772,0.713305898491084,0.00213871574635402,0.639538417131099,0,0.454108137599381,0.0079295487641724,2.07656694185298,1.00375811962536,0.227461382430956,0,0,0
b0074,"IPPS",1,0,0.999999999999725,0,0.900211693929988,0.87997256515775,0.0623427146745868,0.838305947787442,0,0.454108137599381,0.0079295487641724,2.07656694185297,1.00375811962536,0.338436573568419,0,0,0
b0077,"ACHBS",1,0.999999999999442,0.999999999999664,1,0.819047947869558,0.747599451303155,0.131663739997121,0.777400618883806,0,0.452558552970169,0.00511347272400415,1.33909301923642,1.62129844241301,0.373924169137151,0,0,0
b0077,"ACLS",1,0.999999999999442,0.999999999999664,1,0.818266266633074,0.746227709190672,0.128732995384336,0.773607470690669,0,0.458211948124328,0.0153874435246306,4.02964080981521,1.62129844241301,0.373924169137151,0,0,0
b0078,"ACHBS",1,0.999999999999442,0.999999999999664,1,0.819047947869558,0.747599451303155,0.131663739997121,0.777400618883806,0,0.452558552970169,0.00511347272400415,1.33909301923642,1.62129844241301,0.093025432984865,0,0,0
b0078,"ACLS",1,0.999999999999442,0.999999999999664,1,0.818266266633074,0.746227709190672,0.128732995384336,0.773607470690669,0,0.458211948124328,0.0153874435246306,4.02964080981521,1.62129844241301,0.093025432984865,0,0,0
b0085,"UAAGDS",1,0,0.999999999999645,0.0120120120120121,0.862202312677879,0.82716049382716,0.041283856298878,0.773421355625542,0,0.450013963433391,0.000489378937232019,0.128079182520649,1.00375811962536,0.313758776720237,1,1,0
b0086,"UGMDDS",1,0,0.999999999999679,0,0.862202312677879,0.82716049382716,0.0302070205475761,0.766748788569402,0,0.450013963433391,0.000489443204772995,0.128079182520649,1.09934486385222,0.276954283039476,1,1,0
b0087,"PAPPT3",1,0,0.999999999999679,0,0.332573022457106,0.00823045267489712,0.000191583968249526,0.0334268045225417,0,0.450013963433391,0.000489443204772995,0.128079182520649,1.00375811962536,0.229695740365112,0,0,0
b0088,"UAMAGS",1,0,0.999999999999645,0.0120120120120121,0.861370909784895,0.825788751714678,0.0221036518043662,0.760659038387355,0,0.450013963433391,0.000489378937232019,0.128079182520649,1.00375811962536,0.274002184428148,1,1,0
b0090,"UAGPT3",1,0,0.999999999999679,0,0.793335752044162,0.711934156378601,0.0422724460779351,0.666979436440322,0,0.450013963433391,0.000489443204772995,0.128079182520649,1.00375811962536,0.2168388204088,1,1,0
b0091,"UAMAS",1,0,0.999999999999645,0.0120120120120121,0.864702372872793,0.831275720164609,0.0469453622230489,0.787268954376807,0,0.450013963433391,0.000489378937232019,0.128079182520649,1.00375811962536,0.31551880168513,1,1,0
b0092,"ALAALAr",1,0.999999999999442,0.999999999999664,1,0.864285085389859,0.830589849108368,0.0289673734465663,0.769064344265401,1,0.450013963433391,0.000492584283309412,0.128079182520649,1.00375811962536,0.18578873459198,0,0,0
b0096,"UHGADA",1,0,0.999999999999713,0,0.603337050272486,0.398491083676269,0.0103749282401918,0.384695047514176,0,0.450121696958068,0.000684874731285628,0.179351416087646,1.00375811962536,0.192753939772195,0,0,0
b0099,"DNTPPA",1,0.999999999999442,0.999999999999664,1,0.913486279238097,0.900548696844993,0.0653022690839421,0.855010318806234,0,0.449751321806664,1.17745301946407e-05,0.00308352429488904,1.00375811962536,0.0739897019815884,0,0,0
b0099,"NTPP1",1,0.999999999999442,0.999999999999664,1,0.913932927147891,0.901234567901234,0.0367013155821862,0.833061723272172,0,0.449744842686922,3.51061722960954e-06,0,1.00375811962536,0.0739897019815884,0,0,0
b0099,"NTPP2",1,0.999999999999442,0.999999999999664,1,0.91437984616415,0.901920438957476,0.0368423451999984,0.833765938097789,0,0.449744842686922,3.51061722960933e-06,0,1.00375811962536,0.0739897019815884,0,0,0
b0103,"DPCOAK",1,0,0.999999999999605,1,0.836071415314947,0.786694101508916,0.0339676697252723,0.739782640846786,0,0.449750421121856,1.01377092902045e-05,0.00265487293550037,0.528222888261861,0.122015915119363,0,0,0
b0104,"GMPR",1,0.999999999999364,0.999999999999618,0.924924924924925,0.805495401136692,0.729080932784636,0.0121976246350069,0.66567659327028,0,0.449744842686922,1.56027479794732e-06,0,1.00375811962536,0.214148853175222,1,1,0
b0109,"NNDPR",1,0,0.999999999999599,0.00300300300300305,0.825728245658527,0.769547325102881,0.0213403296545233,0.708496477668509,0,0.449766904622306,4.00932322344958e-05,0.0104996537275593,1.00375811962536,0.185301919176159,1,1,0
b0110,"AGM3PA",1,0.999999999999407,0.999999999999822,1,0.600008325665067,0.393004115226337,8.74737899767259e-05,0.362218389836949,0,0.449744842686922,3.69538692140001e-07,0,1.00375811962536,0.108996723357778,0,0,0
b0110,"AGM4PA",1,0.999999999999407,0.999999999999822,1,0.600008325665067,0.393004115226337,8.75913884006456e-05,0.362225528461559,0,0.449744842686922,3.60063421397968e-07,0,1.00375811962536,0.108996723357778,0,0,0
b0110,"AM3PA",1,0.999999999999407,0.999999999999822,1,0.598902984804494,0.391632373113855,1.3534975476749e-05,0.360924090817866,0,0.449744842686922,3.69538692145708e-07,0,1.00375811962536,0.108996723357778,0,0,0
b0110,"AM4PA",1,0.999999999999407,0.999999999999822,1,0.598902984804494,0.391632373113855,1.36525739006687e-05,0.360924090581227,0,0.449744842686922,3.60063421397751e-07,0,1.00375811962536,0.108996723357778,0,0,0
b0112,"HISt2rpp",1,0.999999999999131,0.999999999999786,1,0.84494481214214,0.773662551440329,0.0612166967441643,0.788995670786433,1,0.449742266987917,0,0,1.00375811962536,0.290953346855984,0,0,0
b0112,"PHEt2rpp",1,0.999999999999131,0.999999999999786,1,0.845350831824979,0.774348422496571,0.109332986873619,0.825971266820276,1,0.449744797233398,0,0,1.00375811962536,0.290953346855984,0,0,0
b0112,"TRPt2rpp",1,0.999999999999131,0.999999999999786,1,0.846570301480379,0.776406035665295,0.107390903056959,0.826339778639008,1,0.449744804622401,0,0,1.00375811962536,0.290953346855984,0,0,0
b0112,"TYRt2rpp",1,0.999999999999131,0.999999999999786,1,0.846163576289958,0.775034293552812,0.11860857818023,0.794972450149074,1,0.449744795281406,0,0,1.00375811962536,0.290953346855984,0,0,0
b0114,"PDH",1,0.982588744949664,0.994488985204788,0.987987987987988,0.485586819058486,0.215363511659808,0.045622383185387,0.332159052119496,0,0.528302111053487,0.142787555989529,37.3903366981379,1.00375811962536,0.602877203931971,1,1,0
b0115,"PDH",1,0.982588744949664,0.994488985204788,0.987987987987988,0.485586819058486,0.215363511659808,0.045622383185387,0.332159052119496,0,0.528302111053487,0.142787555989529,37.3903366981379,1.00375811962536,0.393346855983773,1,1,0
b0116,"AKGDH",1,0.971069355117413,0.969565863446841,0.144144144144144,0.4724976176608,0.193415637860082,0.0203621596848251,0.251986055874816,0,0.487213503808667,0.0681134039250426,17.836298743032,1.00375811962536,0.297182087689187,1,1,0
b0116,"GLYCL",1,0.971069355117413,0.969565863446841,0.144144144144144,0.465534711737407,0.177640603566529,0.00928499049765427,0.201442868393914,0,0.450271099713559,0.000975091234874745,0.251680571539743,1.00375811962536,0.297182087689187,1,1,0
b0116,"PDH",1,0.971069355117413,0.969565863446841,0.144144144144144,0.485586819058486,0.215363511659808,0.045622383185387,0.332159052119496,0,0.528302111053487,0.142787555989529,37.3903366981379,1.00375811962536,0.297182087689187,1,1,0
b0118,"ACONTa",1,0.999999999999359,0.99999999999983,0.345345345345345,0.600284990793317,0.393689986282579,0.0441129837713078,0.394819119391038,1,0.497628050293135,0.0870369714067159,22.7920246827449,1.00375811962536,0.564368856295834,1,1,0
