genes,reaction,Phase
DOT1L,LYSMTF1n,G1
DOT1L,LYSMTF2n,G1
DOT1L,LYSMTF3n,G1
GCLM,GLUCYS,G1
ISYNA1,MI1PS,G1
PIK3C2A,PI4P3K,G1
PIK3C2A,PI5P3K,G1
PIK3C2A,PIK3,G1
SLC9A1,NAt3_1,G1
SLC9A1,NAt5,G1
DOT1L,LYSMTF1n,S
DOT1L,LYSMTF2n,S
DOT1L,LYSMTF3n,S
GCLM,GLUCYS,S
ISYNA1,MI1PS,S
SLC9A1,NAt3_1,S
SLC9A1,NAt5,S
GCLM,GLUCYS,G2
ISYNA1,MI1PS,G2
