genes,reaction,Phase
CAD,ASPCTr,G1
CAD,CBPS,G1
CAD,DHORTS,G1
DNMT1,DNAMTSEn,G1
DNMT1,DNAMTn,G1
GMPS,GMPS2,G1
SLC2A1,GAMt1r,G1
SLC2A1,GLCtg,G1
PAICS,PRASCS,S
