genes,reaction,Phase
ACSL5,FACOAL180i,G0
ACSM1,FACOAL40im,G0
ACSS1,ACCOALm,G0
ACSS1,ACSm,G0
ACY1,ACODA,G0
ACY3,NACASPAH,G0
ACYP2,ACYP,G0
ADA,ADA,G0
ADA,ADAe,G0
ADA,DADA,G0
ADA,DADAe,G0
ADC,ARGDCm,G0
ADCY1,ADNCYC,G0
ADCY10,ADNCYC,G0
ADCY2,ADNCYC,G0
ADCY3,ADNCYC,G0
ADCY4,ADNCYC,G0
ADCY5,ADNCYC,G0
ADCY7,ADNCYC,G0
ADCY8,ADNCYC,G0
ADCY9,ADNCYC,G0
ADH1A,34DHOXPEGOX,G0
ADH1A,ALCD1,G0
ADH1A,ALCD21_D,G0
ADH1A,ALCD21_L,G0
ADH1A,ALCD22_D,G0
ADH1A,ALCD22_L,G0
ADH1A,ALCD2if,G0
ADH1B,34DHOXPEGOX,G0
ADH1B,ALCD1,G0
ADH1B,ALCD21_D,G0
ADH1B,ALCD21_L,G0
ADH1B,ALCD22_D,G0
ADH1B,ALCD22_L,G0
ADH1B,ALCD2if,G0
ADH1C,34DHOXPEGOX,G0
ADH1C,ALCD1,G0
ADH1C,ALCD21_D,G0
ADH1C,ALCD21_L,G0
ADH1C,ALCD22_D,G0
ADH1C,ALCD22_L,G0
ADH1C,ALCD2if,G0
ADH4,34DHOXPEGOX,G0
ADH4,ALCD1,G0
ADH4,ALCD21_D,G0
ADH4,ALCD21_L,G0
ADH4,ALCD22_D,G0
ADH4,ALCD22_L,G0
ADH4,ALCD2if,G0
ADH5,34DHOXPEGOX,G0
ADH5,ALCD1,G0
ADH5,ALCD21_D,G0
ADH5,ALCD21_L,G0
ADH5,ALCD22_D,G0
ADH5,ALCD22_L,G0
ADH5,ALCD2if,G0
ADH5,FALDH,G0
ADH5,LALDO,G0
ADH6,34DHOXPEGOX,G0
ADH6,ALCD1,G0
ADH6,ALCD21_D,G0
ADH6,ALCD21_L,G0
ADH6,ALCD22_D,G0
ADH6,ALCD22_L,G0
ADH6,ALCD2if,G0
ADH7,34DHOXPEGOX,G0
ADH7,ALCD1,G0
ADH7,ALCD21_D,G0
ADH7,ALCD21_L,G0
ADH7,ALCD22_D,G0
ADH7,ALCD22_L,G0
ADH7,ALCD2if,G0
ADHFE1,34DHOXPEGOX,G0
ADHFE1,ALCD1,G0
ADHFE1,ALCD21_D,G0
ADHFE1,ALCD21_L,G0
ADHFE1,ALCD22_D,G0
ADHFE1,ALCD22_L,G0
ADHFE1,ALCD2if,G0
ADSS,ADSS,G0
AGA,GASNASE2ly,G0
AGA,GASNASE3ly,G0
AGA,GASNASEly,G0
AGMAT,AGMTm,G0
AGPAT1,AGPAT1,G0
AGPAT2,AGPAT1,G0
AGPAT4,AGPAT1,G0
AGPAT5,AGPAT1,G0
AGPAT6,AGPAT1,G0
AGPS,AGPSx,G0
AGXT,AGTix,G0
AGXT,SPTix,G0
AGXT2,AGTim,G0
AGXT2L1,AGTim,G0
AHCY,AHC,G0
AHCY,SEAHCYSHYD,G0
AHCYL2,SEAHCYSHYD,G0
AICDA,CYTD,G0
AICDA,CYTDn,G0
AICDA,DCYTD,G0
AICDA,DCYTDn,G0
AK1,ADK1,G0
AK3,ADK3m,G0
AK7,ADK1,G0
AKR1B1,ALR,G0
AKR1B1,ALR2,G0
AKR1B1,ALR3,G0
AKR1B1,ARABR,G0
AKR1B1,GALOR,G0
AKR1B1,LALDO2,G0
AKR1B1,PPDOy,G0
AKR1B1,SBTR,G0
AKR1C1,AKR1C1,G0
AKR1C4,AKR1C41,G0
AKR1C4,AKR1C42,G0
AKR1C4,HSD3A1r,G0
AKR1C4,HSD3A2r,G0
AKR1D1,AKR1D,G0
AKR1D1,AKR1D2,G0
