genes,reaction,Phase
ADA,ADAe,S
ADA,DADA,S
ADA,DADAe,S
ADC,ARGDCm,S
ADCY1,ADNCYC,S
ADCY10,ADNCYC,S
ADCY2,ADNCYC,S
ADCY3,ADNCYC,S
ADCY4,ADNCYC,S
ADCY5,ADNCYC,S
ADCY7,ADNCYC,S
ADCY8,ADNCYC,S
ADCY9,ADNCYC,S
ADH1A,34DHOXPEGOX,S
ADH1A,ALCD1,S
ADH1A,ALCD21_D,S
ADH1A,ALCD21_L,S
ADH1A,ALCD22_D,S
ADH1A,ALCD22_L,S
ADH1A,ALCD2if,S
ADH1B,34DHOXPEGOX,S
ADH1B,ALCD1,S
ADH1B,ALCD21_D,S
ADH1B,ALCD21_L,S
ADH1B,ALCD22_D,S
ADH1B,ALCD22_L,S
ADH1B,ALCD2if,S
ADH1C,34DHOXPEGOX,S
ADH1C,ALCD1,S
ADH1C,ALCD21_D,S
ADH1C,ALCD21_L,S
ADH1C,ALCD22_D,S
ADH1C,ALCD22_L,S
ADH1C,ALCD2if,S
ADH4,34DHOXPEGOX,S
ADH4,ALCD1,S
ADH4,ALCD21_D,S
ADH4,ALCD21_L,S
ADH4,ALCD22_D,S
ADH4,ALCD22_L,S
ADH4,ALCD2if,S
ADH5,34DHOXPEGOX,S
ADH5,ALCD1,S
ADH5,ALCD21_D,S
ADH5,ALCD21_L,S
ADH5,ALCD22_D,S
ADH5,ALCD22_L,S
ADH5,ALCD2if,S
ADH5,FALDH,S
ADH5,LALDO,S
ADH6,34DHOXPEGOX,S
ADH6,ALCD1,S
ADH6,ALCD21_D,S
ADH6,ALCD21_L,S
ADH6,ALCD22_D,S
ADH6,ALCD22_L,S
ADH6,ALCD2if,S
ADH7,34DHOXPEGOX,S
ADH7,ALCD1,S
ADH7,ALCD21_D,S
ADH7,ALCD21_L,S
ADH7,ALCD22_D,S
ADH7,ALCD22_L,S
ADH7,ALCD2if,S
ADHFE1,34DHOXPEGOX,S
ADHFE1,ALCD1,S
ADHFE1,ALCD21_D,S
ADHFE1,ALCD21_L,S
ADHFE1,ALCD22_D,S
ADHFE1,ALCD22_L,S
ADHFE1,ALCD2if,S
ADSS,ADSS,S
AGA,GASNASE2ly,S
AGA,GASNASE3ly,S
AGA,GASNASEly,S
AGMAT,AGMTm,S
AGPAT1,AGPAT1,S
AGPAT2,AGPAT1,S
AGPAT4,AGPAT1,S
AGPAT5,AGPAT1,S
AGPAT6,AGPAT1,S
AGPS,AGPSx,S
AGXT,AGTix,S
AGXT,SPTix,S
AGXT2,AGTim,S
AGXT2L1,AGTim,S
AHCYL2,SEAHCYSHYD,S
AICDA,CYTD,S
AICDA,CYTDn,S
AICDA,DCYTD,S
AICDA,DCYTDn,S
AK1,ADK1,S
AK3,ADK3m,S
AK7,ADK1,S
AKR1B1,ALR,S
AKR1B1,ALR2,S
AKR1B1,ALR3,S
AKR1B1,ARABR,S
AKR1B1,GALOR,S
AKR1B1,LALDO2,S
AKR1B1,PPDOy,S
AKR1B1,SBTR,S
AKR1C1,AKR1C1,S
AKR1C4,AKR1C41,S
AKR1C4,AKR1C42,S
AKR1C4,HSD3A1r,S
AKR1C4,HSD3A2r,S
AKR1D1,AKR1D,S
AKR1D1,AKR1D2,S
AKR7A2,ALR2,S
AKR7A2,ALR3,S
AKR7A2,ARABR,S
AKR7A2,LALDO2,S
AKR7A2,LALDO2x,S
AKR7A2,PPDOx,S
AKR7A2,PPDOy,S
AKR7A2,SBTR,S
ALAS2,ALASm,S
ALDH18A1,AGPRim,S
ALDH18A1,G5SDym,S
ALDH18A1,GCALDDm,S
ALDH18A1,GLU5Km,S
ALDH18A1,LCADi_Dm,S
ALDH18A1,LCADim,S
ALDH1A1,5HOXINDACTOX,S
ALDH1A1,ALDD20x,S
ALDH1A1,ALDD2x,S
ALDH1A1,BAMPPALDOX,S
ALDH1A1,GCALDD,S
ALDH1A1,GLACO,S
ALDH1A1,IMACTD,S
ALDH1A1,LCADi,S
ALDH1A1,LCADi_D,S
ALDH1A1,NABTNO,S
ALDH1A1,PYLALDOX,S
ALDH1A3,34DHPLACOX,S
ALDH1A3,34DHXMANDACOX,S
ALDH1A3,3M4HDXPAC,S
ALDH1A3,3MOX4HOXPGALDOX,S
ALDH1A3,3MOX4HOXPGALDOX(NADP),S
ALDH1A3,4HOXPACDOX(NADP),S
ALDH1A3,ALDD19x,S
ALDH1A3,ALDD19x(P),S
ALDH1A3,ALDD2x,S
ALDH1A3,GCALDD,S
ALDH1A3,GLACO,S
ALDH1A3,LCADi,S
ALDH1A3,LCADi_D,S
ALDH1A3,MACOXO,S
ALDH1B1,5HOXINDACTOXm,S
ALDH1B1,ALDD20xm,S
ALDH1B1,ALDD2xm,S
ALDH1B1,BAMPPALDOXm,S
ALDH1B1,GCALDDm,S
ALDH1B1,GLACOm,S
ALDH1B1,IMACTD_m,S
ALDH1B1,LCADi_Dm,S
ALDH1B1,LCADim,S
ALDH1B1,NABTNOm,S
ALDH1B1,PYLALDOXm,S
ALDH1L1,FDH,S
ALDH1L1,FTHFDH,S
ALDH2,5HOXINDACTOXm,S
ALDH2,ALDD20xm,S
ALDH2,ALDD2xm,S
ALDH2,BAMPPALDOXm,S
ALDH2,GCALDDm,S
ALDH2,GLACOm,S
ALDH2,IMACTD_m,S
ALDH2,LCADi_Dm,S
ALDH2,LCADim,S
ALDH2,NABTNOm,S
ALDH2,PYLALDOXm,S
ALDH3A1,34DHPLACOX,S
ALDH3A1,34DHPLACOX(NADP),S
ALDH3A1,34DHXMANDACOX,S
ALDH3A1,3M4HDXPAC,S
ALDH3A1,3MOX4HOXPGALDOX,S
ALDH3A1,3MOX4HOXPGALDOX(NADP),S
ALDH3A1,4HOXPACDOX(NADP),S
ALDH3A1,ALDD19x,S
ALDH3A1,ALDD19x(P),S
ALDH3A1,ALDD2x,S
ALDH3A1,ALDD2y,S
ALDH3A1,GCALDD,S
ALDH3A1,GLACO,S
ALDH3A1,LCADi,S
ALDH3A1,LCADi_D,S
ALDH3A1,MACOXO,S
ALDH3A2,5HOXINDACTOX,S
ALDH3A2,ALDD20x,S
ALDH3A2,ALDD21,S
ALDH3A2,ALDD2x,S
ALDH3A2,ALDD2y,S
ALDH3A2,BAMPPALDOX,S
ALDH3A2,GCALDD,S
ALDH3A2,GLACO,S
ALDH3A2,IMACTD,S
ALDH3A2,LCADi,S
ALDH3A2,LCADi_D,S
ALDH3A2,NABTNO,S
ALDH3A2,PYLALDOX,S
ALDH3B1,34DHPLACOX,S
ALDH3B1,34DHPLACOX(NADP),S
ALDH3B1,34DHXMANDACOX,S
ALDH3B1,34DHXMANDACOX(NADP),S
ALDH3B1,3M4HDXPAC,S
ALDH3B1,3MOX4HOXPGALDOX,S
ALDH3B1,3MOX4HOXPGALDOX(NADP),S
ALDH3B1,4HOXPACDOX(NADP),S
ALDH3B1,ALDD19x,S
ALDH3B1,ALDD19x(P),S
ALDH3B1,ALDD2x,S
ALDH3B1,ALDD2y,S
ALDH3B1,GCALDD,S
ALDH3B1,GLACO,S
ALDH3B1,LCADi,S
ALDH3B1,LCADi_D,S
ALDH3B1,MACOXO,S
ALDH3B2,34DHPLACOX,S
ALDH3B2,34DHPLACOX(NADP),S
ALDH3B2,34DHXMANDACOX(NADP),S
ALDH3B2,3M4HDXPAC,S
ALDH3B2,3MOX4HOXPGALDOX,S
ALDH3B2,3MOX4HOXPGALDOX(NADP),S
ALDH3B2,4HOXPACDOX(NADP),S
ALDH3B2,ALDD19x,S
ALDH3B2,ALDD19x(P),S
ALDH3B2,ALDD2x,S
ALDH3B2,ALDD2y,S
ALDH3B2,GCALDD,S
ALDH3B2,GLACO,S
ALDH3B2,LCADi,S
ALDH3B2,LCADi_D,S
ALDH3B2,MACOXO,S
ALDH6A1,GCALDDm,S
ALDH6A1,LCADi_Dm,S
ALDH6A1,LCADim,S
ALDH6A1,MMSAD1m,S
ALDH6A1,MMSAD3m,S
ALDH7A1,5HOXINDACTOX,S
ALDH7A1,ALDD20x,S
ALDH7A1,ALDD2x,S
ALDH7A1,BAMPPALDOX,S
ALDH7A1,GCALDD,S
ALDH7A1,IMACTD,S
ALDH7A1,LCADi,S
ALDH7A1,LCADi_D,S
ALDH7A1,NABTNO,S
ALDH7A1,PYLALDOX,S
ALDH9A1,5HOXINDACTOX,S
ALDH9A1,ABUTD,S
ALDH9A1,ALDD20x,S
ALDH9A1,ALDD2x,S
ALDH9A1,ALDD2y,S
ALDH9A1,BAMPPALDOX,S
ALDH9A1,BETALDHx,S
ALDH9A1,GCALDD,S
ALDH9A1,GLACO,S
ALDH9A1,IMACTD,S
ALDH9A1,LCADi,S
ALDH9A1,LCADi_D,S
ALDH9A1,NABTNO,S
ALDH9A1,PYLALDOX,S
ALDH9A1,TMABADH,S
ALDOB,FBA,S
ALDOB,FBA2,S
ALDOB,FBA4,S
ALDOB,FBA5,S
ALDOC,FBA,S
ALDOC,FBA2,S
ALDOC,FBA4,S
ALG1,BDMT_L,S
ALG1,BDMT_U,S
ALG10,DOLPGT3_Ler,S
ALG10,DOLPGT3_Uer,S
ALG12,DOLPMT3_Ler,S
ALG12,DOLPMT3_Uer,S
ALG5,UDPDOLPT_L,S
ALG5,UDPDOLPT_U,S
ALG6,DOLPGT1_Ler,S
ALG6,DOLPGT1_Uer,S
ALOX12,ALOX12,S
ALOX12B,ALOX12R,S
ALOX15,ALOX15,S
ALOX15B,ALOX15,S
ALOX5,ALOX5,S
ALOX5,ALOX52,S
ALPI,ALKP,S
ALPL,ALKP,S
ALPP,ALKP,S
ALPPL2,ALKP,S
AMD1,ADMDC,S
AMDHD2,AGDC,S
AMPD1,AMPDA,S
AMPD3,AMPDA,S
AMT,GCC2am,S
AMT,GCC2bim,S
AMT,GCC2cm,S
AMT,GCCam,S
AMT,GCCbim,S
AMT,GCCcm,S
AMY2A,AMY1e,S
AMY2A,AMY2e,S
AMY2B,AMY1e,S
AMY2B,AMY2e,S
ANPEP,AMPTASECG,S
ANPEP,AMPTASECGe,S
AOC3,13DAMPPOX,S
AOC3,42A12BOOX,S
AOC3,AACTOOR,S
AOC3,MAOX,S
AOC3,MHISOR,S
AOC3,NMPTRCOX,S
AOC3,PTRCOX1,S
AOX1,5HOXINDACTO2OX,S
AOX1,PYDXDH,S
APRT,ADPT,S
AQP9,L_LACtcm,S
AQP9,UREAtm,S
ARG1,ARGN,S
ARG2,ARGNm,S
ARSA,ARSA,S
ASL,ARGSL,S
ASPA,NACASPAH,S
ASRGL1,ASNNm,S
