genes,reaction
A4GALT,A4GALTg
AACS,AACOAT
AACS,ACS
AACS,ACS2
AADAC,EGMESTr
AASS,SACCD4m
ABP1,NMPTRCOX
ACACB,ACCOAC
ACAD10,ACOAD1fm
ACAD10,PPCOAOm
ACAD11,ACOAD1fm
ACAD11,PPCOAOm
ACAD9,ACOAD1fm
ACAD9,PPCOAOm
ACADSB,ACOAD1fm
ACADSB,PPCOAOm
ACAT1,ACACT10m
ACAT1,ACACT1rm
ACAT2,ACACT1r
ACAT2,ACACT1x
ACLY,ACITL
ACOX2,ACOX22x
ACOX2,ACOX2x
ACP2,3NTD7l
ACP2,LAPCOAl
ACP2,NTD2l
ACP2,NTD3l
ACP2,NTD4l
ACP2,NTD5l
ACP2,NTD7l
ACP2,NTD8l
ACP2,NTD9l
ACSL1,FACOAL150
ACSL1,FACOAL160i
ACSL1,FACOAL161
ACSL1,FACOAL170
ACSL1,FACOAL180i
ACSL1,FACOAL1812
ACSL1,FACOAL1813
ACSL1,FACOAL181i
ACSL1,FACOAL1821
ACSL1,FACOAL1822
ACSL1,FACOAL1831
ACSL1,FACOAL1832
ACSL1,FACOAL184
ACSL1,FACOAL200
ACSL1,FACOAL203
ACSL1,FACOAL2042
ACSL1,FACOAL205
ACSL1,FACOAL224
ACSL1,FACOAL2252
ACSL1,FACOAL240
ACSL1,FACOAL241
ACSL1,FACOAL244_1
ACSL1,FACOAL245_1
ACSL1,FACOAL245_2
ACSL1,FACOAL246_1
ACSL1,FACOAL260
ACSL5,FACOAL160i
ACSL5,FACOAL180i
ACSS1,ACCOALm
ACSS1,ACSm
ACY1,ACODA
ACY3,NACASPAH
ADA,ADA
ADA,ADAe
ADA,DADA
ADA,DADAe
ADC,ARGDCm
ADCY1,ADNCYC
ADCY10,ADNCYC
ADCY2,ADNCYC
ADCY3,ADNCYC
ADCY4,ADNCYC
ADCY7,ADNCYC
ADCY9,ADNCYC
AGA,GASNASE2ly
AGA,GASNASEly
AGMAT,AGMTm
AGPAT5,AGPAT1
AGPAT6,AGPAT1
AGPS,AGPSx
AHCY,AHC
AHCY,SEAHCYSHYD
AHCYL2,SEAHCYSHYD
AICDA,DCYTD
AK3,ADK3m
ALDH18A1,AGPRim
ALDH18A1,G5SDym
ALDH18A1,GCALDDm
ALDH18A1,GLU5Km
ALDH18A1,LCADi_Dm
ALDH18A1,LCADim
ALDH1B1,GLACOm
ALDH1B1,IMACTD_m
ALDH1B1,NABTNOm
ALDH2,GLACOm
ALDH2,IMACTD_m
ALDH2,LCADim
ALDH2,NABTNOm
ALDH6A1,GCALDDm
ALDH6A1,LCADi_Dm
ALDH6A1,LCADim
ALDH6A1,MMSAD1m
ALDOC,FBA
ALOX12,ALOX12
ALOX12B,ALOX12R
ALOX15,ALOX15
ALOX15B,ALOX15
ALOX5,ALOX5
ALOX5,ALOX52
ALPL,ALKP
ALPP,ALKP
AMDHD2,AGDC
ANPEP,AMPTASECG
ANPEP,AMPTASECGe
ARG1,ARGN
ARG2,ARGNm
ASPA,NACASPAH
ATHL1,TREH
ATP6V0B,ATPasel
ATP6V0C,ATPasel
ATP6V1D,ATPasel
ATP6V1E1,ATPasel
ATP6V1E2,ATPasel
B4GALNT1,GALGT3
BAAT,BAAT1x
BBOX1,BBHOX
BCAT2,ILETAm
BCAT2,LEUTAm
BCAT2,VALTAm
BLVRA,BILIRED
BLVRB,BILIRED
BPNT1,BPNT
BPNT1,BPNT2
CAT,CAT2p
CAT,CATm
CAT,CATp
CBR1,CBR2
CD38,NADNe
CD38,NADPNe
CES2,COKECBESr
CHDH,CHOLD2m
CHPF,GALNACT2g
CHPF,GALNACT3g
CHPF,GALNACT4g
CHPF,GALNACT5g
CHPF,GLCAT2g
CHPF,GLCAT3g
CHPF,GLCAT4g
CHPF,GLCAT5g
CHPF2,GLCAT2g
CHPF2,GLCAT3g
CHPF2,GLCAT4g
CHPF2,GLCAT5g
CHSY1,GALNACT2g
CHSY1,GALNACT3g
CHSY1,GALNACT4g
CHSY1,GALNACT5g
CHSY1,GLCAT2g
CHSY1,GLCAT3g
CHSY1,GLCAT4g
CHSY1,GLCAT5g
CHSY3,GALNACT2g
CHSY3,GALNACT3g
CHSY3,GALNACT4g
CHSY3,GALNACT5g
CHSY3,GLCAT2g
CHSY3,GLCAT3g
CHSY3,GLCAT4g
CHSY3,GLCAT5g
CNDP1,NBAHH_ir
COMTD1,SALMCOM
COMTD1,SALMCOM2
COQ3,COQ3m
COQ3,DHDPBMTm
COQ7,COQ7m
CPT1A,ADRNCPT1
CPT1A,ARACHCPT1
CPT1A,C160CPT1
CPT1A,C161CPT1
CPT1A,C161CPT12
CPT1A,C180CPT1
CPT1A,C181CPT1
CPT1A,C204CPT1
CPT1A,C226CPT1
CPT1A,CLPNDCPT1
CPT1A,DCSPTN1CPT1
CPT1A,DLNLCGCPT1
CPT1A,EICOSTETCPT1
CPT1A,ELAIDCPT1
CPT1A,HEXCCPT1
CPT1A,LGNCCPT1
CPT1A,LNELDCCPT1
CPT1A,LNLCCPT1
CPT1A,LNLNCACPT1
CPT1A,LNLNCGCPT1
CPT1A,NRVNCCPT1
CPT1A,RTOTAL2CRNCPT1
CPT1A,RTOTAL3CRNCPT1
CPT1A,RTOTALCRNCPT1
CPT1A,STRDNCCPT1
CPT1A,TETPENT3CPT1
CPT1A,TETPENT6CPT1
CPT1A,TETTET6CPT1
CPT1A,TMNDNCCPT1
CPT1A,TTDCPT1
CPT1A,VACCCPT1
CPT1C,ADRNCPT1
CPT1C,ARACHCPT1
CPT1C,C160CPT1
CPT1C,C161CPT1
CPT1C,C161CPT12
CPT1C,C180CPT1
CPT1C,C181CPT1
CPT1C,C204CPT1
CPT1C,C226CPT1
CPT1C,CLPNDCPT1
CPT1C,DCSPTN1CPT1
CPT1C,DLNLCGCPT1
CPT1C,EICOSTETCPT1
CPT1C,ELAIDCPT1
CPT1C,HEXCCPT1
CPT1C,LGNCCPT1
CPT1C,LNELDCCPT1
CPT1C,LNLCCPT1
CPT1C,LNLNCACPT1
CPT1C,LNLNCGCPT1
CPT1C,NRVNCCPT1
CPT1C,RTOTAL2CRNCPT1
CPT1C,RTOTAL3CRNCPT1
CPT1C,RTOTALCRNCPT1
CPT1C,STRDNCCPT1
CPT1C,TETPENT3CPT1
CPT1C,TETPENT6CPT1
CPT1C,TETTET6CPT1
CPT1C,TMNDNCCPT1
CPT1C,TTDCPT1
CPT1C,VACCCPT1
CPT2,C160CPT2
CSGALNACT2,GALNACT2g
CTSA,GALASE10ly
CTSA,GALASE11ly
CTSA,GALASE12ly
CTSA,GALASE13ly
CTSA,GALASE14ly
CTSA,GALASE15ly
CTSA,GALASE16ly
CTSA,GALASE17ly
CTSA,GALASE18ly
CTSA,GALASE19ly
CTSA,GALASE1ly
CTSA,GALASE20ly
CTSA,GALASE3ly
CTSA,GALASE4ly
CTSA,GALASE5ly
CTSA,GALASE6ly
CTSA,GALASE7ly
CTSA,GALASE8ly
CTSA,GALASE9ly
CTSA,SIAASE2ly
CTSA,SIAASEly
CYP27A1,P45027A13m
CYP27A1,P45027A16m
CYP39A1,P45039A1r
CYP3A7,P4503A7r
CYP51A1,LNS14DMr
CYP7B1,P4507B11r
DBT,OIVD1m
DBT,OIVD2m
DBT,OIVD3m
DGAT1,DGAT
DGKI,DAGKn_hs
DHCR7,DHCR72r
DLAT,PDHm
DLD,2OXOADOXm
DLD,AKGDm
DLD,GCC2am
DLD,GCC2bim
DLD,GCC2cm
DLD,GCCam
DLD,GCCbim
DLD,GCCcm
DLD,OIVD1m
DLD,OIVD2m
DLD,OIVD3m
DLD,PDHm
ECHDC2,3HBCDm
ECHS1,ECOAH12m
ECHS1,ECOAH9m
ECHS1,PRPNCOAHYDm
EHHADH,C2M26DCOAHLx
EHHADH,ECOAH1x
EHHADH,FAOXC16080x
EHHADH,FAOXC180x
EHHADH,FAOXC183806x
EHHADH,FAOXC18480x
EHHADH,FAOXC200180x
EHHADH,FAOXC2051843x
EHHADH,FAOXC2242046x
EHHADH,FAOXC2251836x
EHHADH,FAOXC2252053x
EHHADH,FAOXC226205x
EHHADH,FAOXC240200x
EHHADH,FAOXC241181x
EHHADH,FAOXC2442246x
EHHADH,FAOXC2452253x
EHHADH,FAOXC2452256x
EHHADH,FAOXC246226x
EHHADH,FAOXC260240x
EHHADH,HACD1x
EHHADH,PEROXx
EHHADH,PRPNCOAHYDx
EHHADH,T2M26DCOAHLx
ENGASE,ENGASE
ENGASE,ENGASE2
ENO1,ENO
ENO2,ENO
ENTPD1,ATPH1e
ENTPD1,ATPH2e
ENTPD3,ATPH1e
ENTPD3,ATPH2e
ENTPD5,ATPH1e
ENTPD5,ATPH2e
EXT1,GLCAT6g
EXT1,GLCAT7g
EXT1,GLCAT8g
EXT1,GLCAT9g
EXT1,GLCNACT2g
EXT1,GLCNACT3g
EXT1,GLCNACT4g
EXT1,GLCNACT5g
EXTL1,GLCNACT2g
EXTL1,GLCNACT3g
EXTL1,GLCNACT4g
EXTL1,GLCNACT5g
EXTL3,GLCNACT1g
EXTL3,GLCNACT2g
EXTL3,GLCNACT3g
EXTL3,GLCNACT4g
EXTL3,GLCNACT5g
FASN,ACOATA
FASN,FAS100COA
FASN,FAS120COA
FASN,FAS140COA
FASN,FAS160COA
FASN,FAS180COA
FASN,FAS80COA_L
FASN,KAS8
FASN,MCOATA
FBP1,FBP
FBP1,FBP26
G6PC,G6PPer
G6PC2,G6PPer
G6PC2,PPAer
G6PC3,CBPPer
