genes,reaction
G6PC3,G6PPer
G6PC3,PPAer
GAL3ST1,GAL3ST11
GAL3ST1,GAL3ST12
GALC,GALC
GALNS,GALASE10ly
GALNS,GALASE11ly
GALNS,GALASE12ly
GALNS,GALASE13ly
GALNS,GALASE14ly
GALNS,GALASE15ly
GALNS,GALASE16ly
GALNS,GALASE17ly
GALNS,GALASE18ly
GALNS,GALASE19ly
GALNS,GALASE1ly
GALNS,GALASE20ly
GALNS,GALASE3ly
GALNS,GALASE4ly
GALNS,GALASE5ly
GALNS,GALASE6ly
GALNS,GALASE7ly
GALNS,GALASE8ly
GALNS,GALASE9ly
GALNS,SIAASE2ly
GALNS,SIAASEly
GALNT8,GALNTg
GAPDH,GAPD
GBE1,GLBRAN
GCAT,ALASm
GCAT,GLYATm
GCLM,GLUCYS
GGT5,GGT5r
GK2,GLYKm
GLA,GLAl
GLB1,GALASE10ly
GLB1,GALASE11ly
GLB1,GALASE12ly
GLB1,GALASE13ly
GLB1,GALASE14ly
GLB1,GALASE15ly
GLB1,GALASE16ly
GLB1,GALASE17ly
GLB1,GALASE18ly
GLB1,GALASE19ly
GLB1,GALASE1ly
GLB1,GALASE20ly
GLB1,GALASE3ly
GLB1,GALASE4ly
GLB1,GALASE5ly
GLB1,GALASE6ly
GLB1,GALASE7ly
GLB1,GALASE8ly
GLB1,GALASE9ly
GLB1,GLB1
GLB1,LACZly
GLB1,S6TASE10ly
