genes,reaction
ALDH3B1,3M4HDXPAC
ALDH3B1,3MOX4HOXPGALDOX
ALDH3B1,3MOX4HOXPGALDOX(NADP)
ALDH3B1,4HOXPACDOX(NADP)
ALDH3B1,ALDD19x
ALDH3B1,ALDD19x(P)
ALDH3B1,ALDD2x
ALDH3B1,ALDD2y
ALDH3B1,GCALDD
ALDH3B1,GLACO
ALDH3B1,LCADi
ALDH3B1,LCADi_D
ALDH3B1,MACOXO
ALDH3B2,34DHPLACOX
ALDH3B2,34DHPLACOX(NADP)
ALDH3B2,34DHXMANDACOX(NADP)
ALDH3B2,3M4HDXPAC
ALDH3B2,3MOX4HOXPGALDOX
ALDH3B2,3MOX4HOXPGALDOX(NADP)
ALDH3B2,4HOXPACDOX(NADP)
ALDH3B2,ALDD19x
ALDH3B2,ALDD19x(P)
ALDH3B2,ALDD2x
ALDH3B2,ALDD2y
ALDH3B2,GCALDD
ALDH3B2,GLACO
ALDH3B2,LCADi
ALDH3B2,LCADi_D
ALDH3B2,MACOXO
ALDH7A1,5HOXINDACTOX
ALDH7A1,ALDD20x
ALDH7A1,ALDD2x
ALDH7A1,BAMPPALDOX
ALDH7A1,GCALDD
ALDH7A1,IMACTD
ALDH7A1,LCADi
ALDH7A1,LCADi_D
ALDH7A1,NABTNO
ALDH7A1,PYLALDOX
ALDH9A1,5HOXINDACTOX
ALDH9A1,ABUTD
ALDH9A1,ALDD20x
ALDH9A1,ALDD2x
ALDH9A1,ALDD2y
ALDH9A1,BAMPPALDOX
ALDH9A1,BETALDHx
ALDH9A1,GCALDD
ALDH9A1,GLACO
ALDH9A1,IMACTD
ALDH9A1,LCADi
ALDH9A1,LCADi_D
ALDH9A1,NABTNO
ALDH9A1,PYLALDOX
ALDH9A1,TMABADH
ALDOB,FBA2
ALDOB,FBA4
ALDOB,FBA5
ALDOC,FBA2
ALDOC,FBA4
ALG1,BDMT_L
ALG1,BDMT_U
ALG10,DOLPGT3_Ler
ALG10,DOLPGT3_Uer
ALG12,DOLPMT3_Ler
ALG12,DOLPMT3_Uer
ALG6,DOLPGT1_Ler
ALG6,DOLPGT1_Uer
ALPI,ALKP
ALPPL2,ALKP
AMD1,ADMDC
AMPD1,AMPDA
AMPD3,AMPDA
AMY2A,AMY1e
AMY2A,AMY2e
AMY2B,AMY1e
AMY2B,AMY2e
AOC3,13DAMPPOX
AOC3,42A12BOOX
AOC3,AACTOOR
AOC3,MAOX
AOC3,MHISOR
AOC3,NMPTRCOX
AOC3,PTRCOX1
AOX1,5HOXINDACTO2OX
AOX1,PYDXDH
ARSA,ARSA
ASL,ARGSL
ATIC,IMPC
ATP2B1,CAATPS
ATP2B3,CAATPS
ATP5B,ATPS4m
ATP6V0A1,ATPasel
ATP6V0A2,ATPasel
ATP6V0D1,ATPasel
ATP6V0D2,ATPasel
ATP6V1A,ATPasel
ATP6V1B1,ATPasel
ATP6V1B2,ATPasel
ATP6V1C2,ATPasel
ATP8A1,PEFLIP
ATP8A1,PSFLIP
ATP8A1,PSFLIPm
B3GALT4,B3GALT41g
B3GALT4,B3GALT42g
B3GALT4,B3GALT43g
B3GALT4,B3GALT44g
B3GNT1,AG13T10g
B3GNT1,AG13T11g
B3GNT1,AG13T12g
B3GNT1,AG13T13g
B3GNT1,AG13T14g
B3GNT1,AG13T15g
B3GNT1,AG13T16g
B3GNT1,AG13T17g
B3GNT1,AG13T18g
B3GNT1,AG13T1g
B3GNT1,AG13T2g
B3GNT1,AG13T3g
B3GNT1,AG13T4g
B3GNT1,AG13T5g
B3GNT1,AG13T6g
B3GNT1,AG13T7g
B3GNT1,AG13T8g
B3GNT1,AG13T9g
B3GNT3,B3GNT33g
B3GNT3,B3GNT35g
B3GNT3,B3GNT38g
B3GNT3,B3GNT39g
B3GNT5,B3GNT51g
B3GNT6,CORE3GTg
B3GNT7,AG13T10g
B3GNT7,AG13T11g
B3GNT7,AG13T12g
B3GNT7,AG13T13g
B3GNT7,AG13T14g
B3GNT7,AG13T15g
B3GNT7,AG13T16g
B3GNT7,AG13T17g
B3GNT7,AG13T18g
B3GNT7,AG13T1g
B3GNT7,AG13T2g
B3GNT7,AG13T3g
B3GNT7,AG13T4g
B3GNT7,AG13T5g
B3GNT7,AG13T6g
B3GNT7,AG13T7g
B3GNT7,AG13T8g
B3GNT7,AG13T9g
B4GALNT1,GALGT1
B4GALNT1,GALGT2
B4GALNT1,GALGT4
B4GALT1,G14T10g
B4GALT1,G14T11g
B4GALT1,G14T12g
B4GALT1,G14T13g
B4GALT1,G14T14g
B4GALT1,G14T15g
B4GALT1,G14T16g
B4GALT1,G14T17g
B4GALT1,G14T18g
B4GALT1,G14T19g
B4GALT1,G14T20g
B4GALT1,G14T21g
B4GALT1,G14T2g
B4GALT1,G14T3g
B4GALT1,G14T4g
B4GALT1,G14T5g
B4GALT1,G14T6g
B4GALT1,G14T7g
B4GALT1,G14T8g
B4GALT1,G14T9g
B4GALT1,G14Tg
B4GALT1,UGALGTg
BCAT1,ILETA
BCAT1,LEUTA
BCAT1,VALTA
BCKDHA,OIVD1m
BCKDHA,OIVD2m
BCKDHA,OIVD3m
BCMO1,BCDO
BTD,BTND1
BTD,BTND1n
BTD,BTNDe
BTD,BTNDm
C9orf95,RNMK
CAD,ASPCTr
CAD,CBPS
CAD,DHORTS
CBS,CYSTS
